CUSTOMER	RETAILER	TASK	FACILITY
Golden Bull Mktg.	Houzz	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Pricesmart	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Temu	Scheduling	Seabrook (Pooler, GA)
Golden Bull Mktg.	Walmart	Scheduling	Seabrook (Pooler, GA)
SMEG	AMAZON	Scheduling	Airport (Ontario, CA)
NATUS	AMAZON.COM	Routing / Scheduling	Cyprus (Summerville, SC)
NATUS	WAL-MART	Routing / Scheduling	Cyprus (Summerville, SC)
KARAKA LLC	Target Boka	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	Target Iron Flask	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	Walmart Boka	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	Walmart Iron Flask	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	Walmart Viking	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	CVS Boka	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	CVS Zsk	Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	GNC	Routing / Scheduling	Valley View (Buena Park, CA)
KARAKA LLC	Walmart Puracy	Scheduling	Roanoke (Roanoke, TX)
Mamma Chia	Amazon	Scheduling	Valley View (Buena Park, CA)
Mamma Chia	Target	Scheduling	Valley View (Buena Park, CA)
Unybrands	Walmart	Routing / Scheduling	Valley View (Buena Park, CA)
NZXT	Amazon	Routing / Scheduling	Valley View (Buena Park, CA)
Duke Cannon	Sierra Wholesale	Routing / Scheduling	Joliet (Joliet, IL)
Ingenuity	Target	Routing / Scheduling	Joliet (Joliet, IL)
Duke Cannon	Academy Sports & Outdoors	Routing / Scheduling	Joliet (Joliet, IL)
Duke Cannon	Cost plus World Market	Routing / Scheduling	Joliet (Joliet, IL)
Lumistella	Amazon	Routing / Scheduling	Alessandro (Riverside, CA)
The Parallax Group	The Home Depot	Routing / Scheduling	La Mirada (La Mirada, CA)
The Parallax Group	Sams	Routing / Scheduling	La Mirada (La Mirada, CA)
Golden Bull Mktg.	Costco	Routing / Scheduling	Cotton (Glendale, AZ)
